family,run_id,step,selection,pdms,epdms,scenarios,failed_scenarios,protocol
qwen_dit_historical_reference,navsim-v1-formal-16gpu-bz2-ga1-flashattn-20260801_193514,10000,historical_checkpoint,0.7834272023162415,,12146,0,NAVSIM_navtest_v1.1_PDMS
qwen_dit_historical_reference,navsim-v1-formal-16gpu-bz2-ga1-flashattn-20260801_193514,50000,historical_checkpoint,0.8638091125092247,,12146,0,NAVSIM_navtest_v1.1_PDMS
qwen_dit_historical_reference,navsim-v1-formal-16gpu-bz2-ga1-flashattn-20260801_193514,90000,historical_best_pdms,0.8933875287430181,,12146,0,NAVSIM_navtest_v1.1_PDMS
qwen_dit_historical_reference,navsim-v1-formal-16gpu-bz2-ga1-flashattn-20260801_193514,100000,historical_complete_reference,0.891571521337326,0.8863148336312178,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS
qwen_dit_minimal_frozen_baseline,0804_17-action-only-lr1e5-16g-bz_2-ga_1-train,90000,matched_checkpoint,0.8889252789797509,,12146,0,NAVSIM_navtest_v1.1_PDMS_legacy_unseeded
qwen_visual_dit_reference,qwen-visual-action-only-20260814_001706,100000,auxiliary_reference,0.8960366016889634,,12146,0,NAVSIM_navtest_v1.1_PDMS
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,10000,checkpoint,0.807302453900963,0.7837346907064939,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,20000,checkpoint,0.8087404910104056,0.7867140174787872,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,30000,checkpoint,0.8496513843906783,0.8410590437693504,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,40000,checkpoint,0.8370017653203108,0.8323256628367925,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,50000,checkpoint,0.8617593686625243,0.858612201189224,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,60000,checkpoint,0.8657278113904747,0.8543644385505595,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,70000,checkpoint,0.8588217577531607,0.8500664419613361,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,80000,checkpoint,0.8843151566917451,0.8782835393910282,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,90000,best_before_100k,0.8866051987301515,0.8813244649179974,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size16
sq3dmix_gated,sq3dmix-gated-real-100000-dlc-20260821_092515,100000,completed_supplement,0.8866340958719972,0.8818084934006662,12146,0,NAVSIM_navtest_v1.1_PDMS+v2_EPDMS_seed42_world_size2
