scene_id,candidate_id,perturbation_type,kinematic_valid,route_proxy_valid,candidate_accepted,reactive_available,exact_drivable_area_compliance,exact_driving_direction_compliance,exact_lane_keeping,exact_history_comfort,exact_centerline_progress_m,exact_route_deviation_max_m,exact_max_acceleration_mps2,exact_max_deceleration_mps2,exact_max_abs_jerk_mps3,exact_max_abs_curvature_inv_m,exact_intersection_fraction,exact_static_object_collision,lr_no_at_fault_collision,idm_no_at_fault_collision,lr_traffic_light_compliance,idm_traffic_light_compliance,lr_time_to_collision_within_bound,idm_time_to_collision_within_bound,lr_ttc_infraction_time_s,idm_ttc_infraction_time_s,lr_ttc_infraction_observed,idm_ttc_infraction_observed,lr_dynamic_collision,idm_dynamic_collision,lr_minimum_dynamic_clearance_m,idm_minimum_dynamic_clearance_m,lr_dynamic_occupancy_fraction,idm_dynamic_occupancy_fraction,lr_pdm_score,idm_pdm_score
006a99c013c25bd1,2a7e3a7451c2fa12,anchor,True,True,True,False,1.0,1.0,1.0,1.0,13.622943592360889,7.960447889161014,0.0,1.063085314165484,0.3984841241026267,0.0031807443868448267,0.3170731707317073,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.800161361694336,,0.8292682926829268,,1.0,
006a99c013c25bd1,c671927cbbaf6ca9,lateral_terminal_offset,True,True,True,False,0.0,1.0,1.0,1.0,13.602472357426684,7.960447889161014,0.0,1.0617887670821347,0.42797590770105387,0.012609810055665329,0.3170731707317073,False,1.0,,1.0,,1.0,,5.0,,False,,False,,5.114841938018799,,0.8292682926829268,,0.0,
006a99c013c25bd1,494aed34e64dd469,lateral_terminal_offset,True,True,True,False,1.0,1.0,1.0,1.0,13.614064312787745,7.960447889161014,0.0,1.0632910434620637,0.41229359982985514,0.007290883002445504,0.3170731707317073,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.985358715057373,,0.8292682926829268,,1.0,
006a99c013c25bd1,8c44d99c1011d734,lateral_terminal_offset,True,True,True,False,1.0,1.0,1.0,1.0,13.628230675274652,7.960447889161014,0.0,1.061167503633314,0.3864392406128161,0.005026608151859503,0.3170731707317073,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.517165660858154,,0.8292682926829268,,1.0,
006a99c013c25bd1,62a6411fd137986c,lateral_terminal_offset,True,True,True,False,1.0,1.0,1.0,1.0,13.629962467192072,7.960447889161014,0.0,1.0593940264294845,0.37630692723108794,0.008578747940978999,0.3170731707317073,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.132266044616699,,0.8292682926829268,,1.0,
006a99c013c25bd1,d638542f8ca2b196,speed_scale,True,True,True,False,1.0,1.0,1.0,1.0,10.887427930150647,7.960447889161014,0.0,0.8504721819592014,0.3189164464795411,0.0027182061431847196,0.1951219512195122,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.772219657897949,,0.8292682926829268,,0.9401470742294629,
006a99c013c25bd1,6a1f328fdf573e47,speed_scale,True,True,True,False,1.0,1.0,1.0,1.0,12.252990062906314,7.960447889161014,0.0,0.9567797162173832,0.35827258226937353,0.0031807410184451664,0.2682926829268293,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.788946628570557,,0.8292682926829268,,0.9774348409394789,
006a99c013c25bd1,9f513aa886a2dea2,speed_scale,True,True,True,False,1.0,1.0,1.0,1.0,14.993671500123943,7.960447889161014,0.0,1.1695679210160517,0.43858410201859144,0.002681280067045724,0.34146341463414637,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.829188823699951,,0.8292682926829268,,1.0,
006a99c013c25bd1,35d0cd8e52543d2b,brake_onset_shift,True,True,True,False,1.0,1.0,1.0,1.0,10.261183149673052,7.960447889161014,0.0,2.163214456182871,2.200258284034774,0.0027182074485173776,0.1951219512195122,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.793936729431152,,0.8292682926829268,,0.923046959399322,
006a99c013c25bd1,e9697638bbb6e130,brake_onset_shift,True,True,True,False,1.0,1.0,1.0,1.0,11.486748603131513,7.960447889161014,0.0,2.4014645150821234,3.0699089290533124,0.0031807398531067794,0.2926829268292683,False,1.0,,1.0,,1.0,,5.0,,False,,False,,4.796938896179199,,0.8292682926829268,,0.9565120047606749,
