metric,kind,count,mean_normalized_difference
drivable_area_compliance,hard,4534,
no_at_fault_collision,hard,416,
driving_direction_compliance,hard,358,
dynamic_collision,hard,317,
static_object_collision,hard,132,
traffic_light_compliance,hard,127,
max_abs_jerk_mps3,soft,14665,1.6098495119112903
max_deceleration_mps2,soft,14665,0.923168860165776
lane_keeping,soft,14665,0.5281050119331742
max_abs_curvature_inv_m,soft,14665,0.5110832882425557
route_deviation_max_m,soft,14665,0.2827715167092556
centerline_progress_m,soft,14665,0.16381176460728172
max_acceleration_mps2,soft,14665,0.11159138471693247
minimum_dynamic_clearance_m,soft,14665,0.07595548475427309
