model_type,seed,factor,mae,brier,auc,strict_compliance_auc,violation_auc
trajectory_only,0,NC,0.32000914216041565,0.15090002119541168,0.8068441785128615,,
trajectory_only,0,DAC,0.3102887272834778,0.1572689265012741,0.8495860828420598,,
trajectory_only,0,DDC,0.1962890923023224,0.05813350901007652,,0.7863812950678744,0.7863812950678745
trajectory_only,0,EP,0.1358630657196045,0.04029730707406998,,,
trajectory_only,0,TTC,0.37383654713630676,0.18470875918865204,0.7928100316747401,,
trajectory_only,0,Comfort,0.030085783451795578,0.01309962198138237,0.9986431438764244,,
trajectory_only,1,NC,0.3162396252155304,0.1510564386844635,0.8100144012295049,,
trajectory_only,1,DAC,0.2976304888725281,0.15325815975666046,0.8571844678015073,,
trajectory_only,1,DDC,0.1958741843700409,0.058618396520614624,,0.7871462612910263,0.7871462612910262
trajectory_only,1,EP,0.13413295149803162,0.03939229995012283,,,
trajectory_only,1,TTC,0.36939626932144165,0.18343128263950348,0.7967124489748942,,
trajectory_only,1,Comfort,0.01862643100321293,0.007597238756716251,0.9995342271147787,,
trajectory_only,2,NC,0.3144873380661011,0.15029945969581604,0.8117018099344113,,
trajectory_only,2,DAC,0.29250961542129517,0.1502281278371811,0.863324423231483,,
trajectory_only,2,DDC,0.19217313826084137,0.05651423707604408,,0.7999016953646916,0.7999016953646916
trajectory_only,2,EP,0.12964661419391632,0.03908291831612587,,,
trajectory_only,2,TTC,0.3666975498199463,0.18317434191703796,0.7980417818636055,,
trajectory_only,2,Comfort,0.01942739449441433,0.00894313957542181,0.9994999490354387,,
direct_current,0,NC,0.15118521451950073,0.0715077742934227,0.9515500237025503,,
direct_current,0,DAC,0.09927244484424591,0.05690958350896835,0.9805849945047683,,
direct_current,0,DDC,0.1731361746788025,0.0515783466398716,,0.8694547551686382,0.8694547551686382
direct_current,0,EP,0.09611061960458755,0.02777291275560856,,,
direct_current,0,TTC,0.17255929112434387,0.09089478850364685,0.9469206191602453,,
direct_current,0,Comfort,0.023372700437903404,0.01105649396777153,0.99901050538466,,
direct_current,1,NC,0.14815622568130493,0.07228084653615952,0.9513032076550779,,
direct_current,1,DAC,0.09151332825422287,0.051025670021772385,0.9841824471925839,,
direct_current,1,DDC,0.17063173651695251,0.050839293748140335,,0.8803277515728314,0.8803277515728314
direct_current,1,EP,0.08558636903762817,0.026274817064404488,,,
direct_current,1,TTC,0.16534963250160217,0.08990291506052017,0.9508765647737766,,
direct_current,1,Comfort,0.019369374960660934,0.009799829684197903,0.9991923592917372,,
direct_current,2,NC,0.1424470841884613,0.0701674073934555,0.952692098755004,,
direct_current,2,DAC,0.09352744370698929,0.04995614290237427,0.9841674813279572,,
direct_current,2,DDC,0.1713792383670807,0.051214005798101425,,0.876141863430975,0.876141863430975
direct_current,2,EP,0.0913933590054512,0.02683096006512642,,,
direct_current,2,TTC,0.16533814370632172,0.09261433780193329,0.9466284230794404,,
direct_current,2,Comfort,0.019470158964395523,0.010005070827901363,0.9992695833819314,,
ego_kinematic_effect,0,NC,0.1564265489578247,0.07591094076633453,0.9515816488134152,,
ego_kinematic_effect,0,DAC,0.09004903584718704,0.04988833889365196,0.984616647403581,,
ego_kinematic_effect,0,DDC,0.17208993434906006,0.052083611488342285,,0.8742789946014782,0.8742789946014782
ego_kinematic_effect,0,EP,0.09019344300031662,0.026699677109718323,,,
ego_kinematic_effect,0,TTC,0.17443838715553284,0.09628772735595703,0.9442645987051699,,
ego_kinematic_effect,0,Comfort,0.025404127314686775,0.01419715117663145,0.9992060675930255,,
ego_kinematic_effect,1,NC,0.16062623262405396,0.07584662735462189,0.9471740013855071,,
ego_kinematic_effect,1,DAC,0.10849574953317642,0.058955296874046326,0.9789701521959431,,
ego_kinematic_effect,1,DDC,0.1809512823820114,0.05577221140265465,,0.8622357418717441,0.8622357418717442
ego_kinematic_effect,1,EP,0.11034934967756271,0.03304583579301834,,,
ego_kinematic_effect,1,TTC,0.1871705949306488,0.09855718165636063,0.9386509161996304,,
ego_kinematic_effect,1,Comfort,0.0246652252972126,0.00996470544487238,0.9991832718832733,,
ego_kinematic_effect,2,NC,0.16237103939056396,0.07646147161722183,0.9450097506639652,,
ego_kinematic_effect,2,DAC,0.1082720085978508,0.06013570353388786,0.9777320056013927,,
ego_kinematic_effect,2,DDC,0.1725093573331833,0.052895437926054,,0.8627484329156937,0.8627484329156938
ego_kinematic_effect,2,EP,0.10360322147607803,0.0304875448346138,,,
ego_kinematic_effect,2,TTC,0.18940120935440063,0.10069015622138977,0.9359648723268909,,
ego_kinematic_effect,2,Comfort,0.026990624144673347,0.011056903749704361,0.9990795420461048,,
static_primitive_effect,0,NC,0.17955566942691803,0.08410783112049103,0.9408713210469788,,
static_primitive_effect,0,DAC,0.12724384665489197,0.06490468233823776,0.9730522202201202,,
static_primitive_effect,0,DDC,0.18231196701526642,0.055218253284692764,,0.8536563804455678,0.8536563804455678
static_primitive_effect,0,EP,0.11820138990879059,0.03233158215880394,,,
static_primitive_effect,0,TTC,0.20996420085430145,0.10932449251413345,0.9296900750341125,,
static_primitive_effect,0,Comfort,0.03791006654500961,0.01821383647620678,0.9981353677083449,,
static_primitive_effect,1,NC,0.16091370582580566,0.07694514095783234,0.9462389358110188,,
static_primitive_effect,1,DAC,0.10853377729654312,0.058929525315761566,0.9787239183383559,,
static_primitive_effect,1,DDC,0.1750584840774536,0.05145427584648132,,0.8717115884581335,0.8717115884581333
static_primitive_effect,1,EP,0.10850413888692856,0.031004982069134712,,,
static_primitive_effect,1,TTC,0.19099880754947662,0.0984157994389534,0.9384150545257933,,
static_primitive_effect,1,Comfort,0.026696084067225456,0.013378210365772247,0.9988537356553909,,
static_primitive_effect,2,NC,0.14982439577579498,0.07011064141988754,0.9523113304071589,,
static_primitive_effect,2,DAC,0.08893467485904694,0.04874834418296814,0.9852131006284823,,
static_primitive_effect,2,DDC,0.17378152906894684,0.05192926526069641,,0.8717007497145167,0.8717007497145167
static_primitive_effect,2,EP,0.0912141427397728,0.026423798874020576,,,
static_primitive_effect,2,TTC,0.17395707964897156,0.09087520837783813,0.9470437209669621,,
static_primitive_effect,2,Comfort,0.023575231432914734,0.013218214735388756,0.9986185779648803,,
shared_logged_future,0,NC,0.15681089460849762,0.0745961144566536,0.9502647743394658,,
shared_logged_future,0,DAC,0.10365302115678787,0.05618654936552048,0.9815546229254402,,
shared_logged_future,0,DDC,0.1750260442495346,0.0533311702311039,,0.8731219251734283,0.8731219251734285
shared_logged_future,0,EP,0.09690406173467636,0.02781800366938114,,,
shared_logged_future,0,TTC,0.18147161602973938,0.09787450730800629,0.940994534694779,,
shared_logged_future,0,Comfort,0.025619138032197952,0.014463350176811218,0.9991262872160391,,
shared_logged_future,1,NC,0.1858191043138504,0.0882781594991684,0.9356890868744612,,
shared_logged_future,1,DAC,0.14325757324695587,0.07472896575927734,0.9697827863466209,,
shared_logged_future,1,DDC,0.18903644382953644,0.05736318230628967,,0.8386308681794076,0.8386308681794075
shared_logged_future,1,EP,0.1254815012216568,0.034147411584854126,,,
shared_logged_future,1,TTC,0.22263772785663605,0.11460135132074356,0.923414372222662,,
shared_logged_future,1,Comfort,0.035011857748031616,0.017246222123503685,0.9976535646708461,,
shared_logged_future,2,NC,0.15925295650959015,0.07470805943012238,0.9463339482630329,,
shared_logged_future,2,DAC,0.11446113884449005,0.0641227588057518,0.9771082519861658,,
shared_logged_future,2,DDC,0.17891743779182434,0.05507836490869522,,0.8605905937786018,0.8605905937786018
shared_logged_future,2,EP,0.108218252658844,0.031079651787877083,,,
shared_logged_future,2,TTC,0.18888303637504578,0.101178377866745,0.9357608018548852,,
shared_logged_future,2,Comfort,0.02761007845401764,0.015948213636875153,0.9994128121777407,,
dynamic_replay_effect,0,NC,0.16100047528743744,0.0725913792848587,0.9486273539286939,,
dynamic_replay_effect,0,DAC,0.12768089771270752,0.06248430535197258,0.9751127961839625,,
dynamic_replay_effect,0,DDC,0.18402671813964844,0.05547795817255974,,0.8500348617116598,0.8500348617116597
dynamic_replay_effect,0,EP,0.11208881437778473,0.02974521741271019,,,
