model_type,seed,intervention,selected_score,top1_regret,mean_selected_candidate_rank,pairwise_ranking_accuracy,kendall_tau,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5,hard_false_safe_rate,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate,zero_score_selection_rate,wote_failure_recovery_rate
trajectory_only,0,none,0.4282083809375763,0.4587063193321228,48.373046875,0.7547256236634987,0.37655878287007893,-2.2962443002133894,-0.13347464799880981,-0.7404680252075195,-0.012934603728353977,0.19560878243512975,0.09780439121756487,0.142578125,0.61328125,0.591796875,0.021484375,0.09765625,0.7419354838709677
trajectory_only,1,none,0.4208652079105377,0.46604955196380615,46.013671875,0.7649873943315658,0.3927333722125307,-2.3461977089703536,-0.09640009701251984,-0.7768374085426331,-0.0002688342647161335,0.19161676646706588,0.11177644710578842,0.150390625,0.642578125,0.626953125,0.015625,0.10546875,0.5806451612903226
trajectory_only,2,none,0.4455706477165222,0.44134411215782166,44.732421875,0.7675806239861505,0.39653615789316754,-2.0369099350509043,-0.10314327478408813,-0.7068988084793091,0.0,0.24151696606786427,0.14570858283433133,0.140625,0.59375,0.578125,0.015625,0.09765625,0.6451612903225806
direct_current,0,none,0.49401578307151794,0.3928989768028259,26.85546875,0.8542917127465226,0.5187455150076741,-1.3595297919982368,0.0,-0.14177368581295013,0.30540478229522705,0.46706586826347307,0.17764471057884232,0.099609375,0.650390625,0.626953125,0.0234375,0.048828125,0.7419354838709677
direct_current,1,none,0.4931083917617798,0.3938063383102417,27.814453125,0.8531431839270496,0.5176547537552545,-1.7000483754931548,0.0,-0.19910824298858643,0.28671056032180786,0.4530938123752495,0.18962075848303392,0.13671875,0.609375,0.578125,0.03125,0.05859375,0.6451612903225806
direct_current,2,none,0.4870499074459076,0.3998648226261139,27.931640625,0.8557882603732524,0.5209866943260613,-1.9783410748658319,0.0,-0.17344848811626434,0.31707578897476196,0.49101796407185627,0.18962075848303392,0.140625,0.623046875,0.59375,0.029296875,0.07421875,0.6774193548387096
ego_kinematic_effect,0,none,0.49156510829925537,0.3953496217727661,28.41796875,0.853593116170191,0.5182986160246223,-1.0643504572604823,0.0,-0.18473948538303375,0.20610277354717255,0.43912175648702595,0.17165668662674652,0.1171875,0.6328125,0.60546875,0.02734375,0.060546875,0.6774193548387096
ego_kinematic_effect,1,none,0.46920767426490784,0.41770708560943604,30.779296875,0.8463371243054644,0.5072666563760919,-1.8556928474037464,-5.007043364457786e-05,-0.32902103662490845,0.17423951625823975,0.39520958083832336,0.15568862275449102,0.171875,0.6171875,0.57421875,0.04296875,0.091796875,0.4838709677419355
ego_kinematic_effect,2,none,0.45544493198394775,0.4314698278903961,31.22265625,0.8435599831776075,0.5036653276560025,-1.7570446155339219,-0.01676470786333084,-0.38520610332489014,0.12387948483228683,0.37924151696606784,0.15169660678642716,0.212890625,0.6171875,0.5859375,0.03125,0.09765625,0.5483870967741935
static_primitive_effect,0,none,0.4605989456176758,0.4263157844543457,35.708984375,0.8292096590795303,0.4839521150146309,-2.5643709636515957,-0.0370694100856781,-0.38338392972946167,0.08732877671718597,0.36726546906187624,0.15768463073852296,0.1484375,0.6328125,0.599609375,0.033203125,0.068359375,0.7096774193548387
static_primitive_effect,1,none,0.46573328971862793,0.42118144035339355,31.033203125,0.8458722833282525,0.5058651804986021,-2.496330630816352,0.0,-0.2957506775856018,0.20147272944450378,0.437125748502994,0.1656686626746507,0.1875,0.60546875,0.572265625,0.033203125,0.09375,0.5161290322580645
static_primitive_effect,2,none,0.4872131943702698,0.3997015357017517,27.486328125,0.8563768215914073,0.5217476764048272,-2.235484989544357,0.0,-0.2463206648826599,0.21976007521152496,0.45708582834331335,0.17165668662674652,0.12890625,0.62109375,0.59375,0.02734375,0.06640625,0.7419354838709677
shared_logged_future,0,none,0.46731308102607727,0.4196016192436218,31.166015625,0.849932465659845,0.5130520316702242,-1.9755622716282364,-0.0012276427587494254,-0.37419041991233826,0.19744773209095,0.43313373253493015,0.17564870259481039,0.17578125,0.6171875,0.58203125,0.03515625,0.08203125,0.5483870967741935
shared_logged_future,1,none,0.4350355863571167,0.4518791437149048,36.85546875,0.8233519729595618,0.4748512520566367,-3.0679062795656837,-0.04515613615512848,-0.5513188242912292,0.0824015662074089,0.3333333333333333,0.14570858283433133,0.240234375,0.60546875,0.58203125,0.0234375,0.0859375,0.6451612903225806
shared_logged_future,2,none,0.4562219977378845,0.43069273233413696,31.548828125,0.8444515032231793,0.5040013610853663,-2.4734982444557123,-0.012537054717540741,-0.6238653063774109,0.19898147881031036,0.3972055888223553,0.15568862275449102,0.216796875,0.615234375,0.578125,0.037109375,0.087890625,0.6774193548387096
dynamic_replay_effect,0,none,0.47864240407943726,0.40827232599258423,34.66015625,0.8356822748503008,0.49291563393212756,-1.7326025467660737,-0.03242570161819458,-0.39276260137557983,0.2174445539712906,0.3652694610778443,0.18163672654690619,0.109375,0.609375,0.5859375,0.0234375,0.056640625,0.7419354838709677
dynamic_replay_effect,1,none,0.44465523958206177,0.4422594904899597,34.896484375,0.8333994583901683,0.4891192189298655,-2.454818846757848,-0.031843189150094986,-0.47658467292785645,0.11399208009243011,0.34331337325349304,0.16766467065868262,0.220703125,0.609375,0.578125,0.03125,0.09765625,0.6129032258064516
dynamic_replay_effect,2,none,0.4780256152153015,0.40888911485671997,28.900390625,0.8608284138219541,0.5276324108183066,-1.745344971088895,0.0,-0.2463206648826599,0.2608160376548767,0.4491017964071856,0.17964071856287425,0.1328125,0.638671875,0.607421875,0.03125,0.080078125,0.5161290322580645
full_primitive_action_effect,0,none,0.46450409293174744,0.42241063714027405,35.384765625,0.8317639480107966,0.48777970045700914,-2.1441823347894444,-0.038526829332113266,-0.3816690742969513,0.07023493200540543,0.3333333333333333,0.15169660678642716,0.107421875,0.64453125,0.623046875,0.021484375,0.0546875,0.6774193548387096
