scene_token,model_type,seed,intervention,selected_index,wote_selected_index,selected_score,oracle_score,wote_selected_score,regret,candidate_rank,oracle_capture,hard_false_safe,direction_non_compliance,ddc_half,ddc_zero,zero_score_selection,wote_failure_recovery,selected_NC,selected_DAC,selected_DDC,selected_EP,selected_TTC,selected_Comfort,interaction_rich
7638e77a3f2c5011,static_primitive_effect,1,none,25,25,0.0,1.0,0.0,1.0,54,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,True
4d0eb7ba50ff50d0,wote_environment_only,2,none,107,40,0.0,1.0,0.87579453,1.0,97,-7.051175117492676,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
bf86d65ef6d5553f,trajectory_only,0,none,17,70,0.0,1.0,0.4211844,1.0,69,-0.7276659607887268,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
42b295a1f8b95ccf,trajectory_only,0,none,3,58,0.0,1.0,0.34939626,1.0,62,-0.5370338559150696,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
c15dc9089b9d5a55,trajectory_only,0,none,229,193,0.0,1.0,1.0,1.0,56,,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
7950b5d3a544508c,static_primitive_effect,1,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
22689723912350b4,static_primitive_effect,1,none,200,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,0.0,False
65ee324989ec5f2c,direct_current,1,none,1,69,0.0,1.0,0.37031868,1.0,73,-0.5881049036979675,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
789fbb604f4f50dd,direct_current,1,none,1,198,0.0,1.0,0.9750894,1.0,69,-39.14350509643555,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
44bd1648e3cc5cd0,interaction_mask_only,0,none,154,20,0.0,1.0,0.48423976,1.0,48,-0.9388853907585144,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
5a287daa1f775a79,interaction_mask_only,0,none,3,58,0.0,1.0,0.3949676,1.0,70,-0.6528039574623108,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
400935b51be75ea3,full_primitive_no_interaction_mask,2,none,201,22,0.0,1.0,0.0,1.0,58,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,True
527ba01efc975cc8,direct_current,1,none,3,104,0.0,1.0,0.32523274,1.0,15,-0.4819924831390381,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
6ce52a48a7515ba2,direct_current,1,none,1,221,0.0,1.0,0.40435818,1.0,47,-0.6788612604141235,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
84e12e5168365f89,full_primitive_no_interaction_mask,2,none,203,98,0.0,1.0,0.3398729,1.0,105,-0.5148597955703735,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
22689723912350b4,full_primitive_no_interaction_mask,2,none,191,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
