model_type,intervention,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5
trajectory_only,none,-2.053727558194037,-0.04640682848791281,-0.6685829361279806,0.4086538947497805,0.3699268130405855,0.2954091816367266
direct_current,none,-1.0996731908967332,0.3812082664420207,-0.025844461284577847,0.7357390920321146,0.6660013306719894,0.4504324683965402
ego_kinematic_effect,none,-0.9765132726595546,0.3800285005321105,-0.020542959527422983,0.725248803695043,0.6713240186294079,0.447771124417831
static_primitive_effect,none,-1.151771790689063,0.3931904025375843,-0.015017169217268625,0.7508472402890524,0.6786427145708583,0.45841650033266795
shared_logged_future,none,-1.2825812158813799,0.39137425522009534,-0.021595843815399956,0.7459622323513031,0.6686626746506986,0.44710578842315374
dynamic_replay_effect,none,-0.9425538238666206,0.40019592518607777,-0.014235048865278562,0.7971807718276978,0.6819693945442449,0.48702594810379246
full_primitive_action_effect,none,-0.9033695777127294,0.41624338490267593,-0.012822555688520273,0.7553519209225973,0.6879574184963406,0.4664005322687957
full_primitive_no_interaction_mask,none,-0.6864443255927434,0.3999626512328784,-0.00709176870683829,0.8242007891337076,0.6946107784431138,0.48902195608782434
interaction_mask_only,none,-0.9658636185018707,0.380047220736742,-0.01814771583303809,0.7353757818539938,0.6753160345974717,0.4524284763805722
full_engineered_action_effect,none,-0.8365170944363379,0.3976517394185066,-0.00588037446141243,0.7773971954981486,0.6919494344644046,0.4717232202262142
wote_full_future,none,-0.617757843244259,0.4453934356570244,0.019065357744693756,0.796374499797821,0.7178975382568197,0.49634065202927474
wote_environment_only,none,-0.9165879947167433,0.37802147679030895,-0.029239855706691742,0.7230751514434814,0.6613439787092482,0.4431137724550898
wote_base_selector,none,0.0,0.0,0.0,0.0,0.0,0.0
full_primitive_action_effect,full_effect_swap,-1.0666959509342915,0.39521027356386185,-0.022296739121278126,0.7288149893283844,0.6719893546240852,0.4484364604125084
full_primitive_action_effect,actor_only_swap,-1.000661936645181,0.39173473976552486,-0.015234058101971945,0.7356110314528147,0.675981370592149,0.44777112441783107
full_primitive_action_effect,static_only_swap,-0.828628542003421,0.41089335332314175,-0.01345517486333847,0.7531212866306305,0.6879574184963406,0.4610778443113772
full_primitive_action_effect,scene_mean_effect,-1.0036956250485465,0.4207192274431388,-0.009810628873916963,0.7395666241645813,0.6846307385229541,0.4630738522954092
