scene_token,selected_index,full_oracle_index,no_ddc_oracle_index,selected_DDC,oracle_DDC,no_ddc_oracle_DDC,oracle_ranking_reversal,score_loss_caused_by_omitting_DDC
0fcede1cbfb15faa,102,38,38,0.5,1.0,1.0,False,0.0
281f6ff8ed715256,116,142,142,1.0,1.0,1.0,False,0.0
41f1d3b5067d58c1,216,127,127,1.0,1.0,1.0,False,0.0
70df39aae7b05204,186,241,37,0.5,1.0,0.5,True,0.32582029700279236
3cf7edf4ad015849,127,3,3,0.5,1.0,1.0,False,0.0
745730128823551b,111,3,3,0.5,1.0,1.0,False,0.0
d7893388397e5076,200,174,174,1.0,1.0,1.0,False,0.0
73f471f62fe75774,77,198,198,0.5,1.0,1.0,False,0.0
4db513bb187a5415,63,1,1,0.0,1.0,1.0,False,0.0
0819aa49423b5fac,134,1,1,0.5,1.0,1.0,False,0.0
52d0647193455c3b,233,241,241,1.0,1.0,1.0,False,0.0
8b340e8afb3952b4,196,252,252,1.0,1.0,1.0,False,0.0
c6cd57d4069b55bb,185,243,243,0.5,1.0,1.0,False,0.0
b0a23da019fb5995,234,3,140,0.5,1.0,0.5,True,0.2895418405532837
7e0967010e545f55,159,194,194,1.0,1.0,1.0,False,0.0
d618facbff6b5c43,156,3,3,0.5,1.0,1.0,False,0.0
cb3426c1eef252ef,106,212,201,0.5,1.0,0.5,True,0.4015524089336395
99cd9388b8fa5c6c,234,248,248,0.5,1.0,1.0,False,0.0
256071d2206d5fa3,116,69,69,1.0,1.0,1.0,False,0.0
34dd5725878653e6,58,158,158,0.5,1.0,1.0,False,0.0
f9b5f561efb9534f,41,0,0,0.5,1.0,1.0,False,0.0
97800c7b1d275d71,159,200,200,0.5,1.0,1.0,False,0.0
699592e2d3cd5296,252,1,1,0.5,1.0,1.0,False,0.0
94215378168859e5,156,3,72,0.0,1.0,0.5,True,0.293212354183197
995ba078befa55c8,239,200,200,0.5,1.0,1.0,False,0.0
