scene_token,factors_array_equal,score_array_equal,raw_progress_array_equal,oracle_index_equal,candidate_indices_equal,max_factor_absolute_error,max_score_absolute_error,max_raw_progress_absolute_error,score_reconstruction_max_error
0fcede1cbfb15faa,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
281f6ff8ed715256,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
41f1d3b5067d58c1,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
70df39aae7b05204,True,True,True,True,True,0.0,0.0,0.0,1.7384688022481498e-08
3cf7edf4ad015849,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
745730128823551b,True,True,True,True,True,0.0,0.0,0.0,2.949188149248272e-08
d7893388397e5076,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
73f471f62fe75774,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
4db513bb187a5415,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
0819aa49423b5fac,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
