token,log_name,label,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score,setting,candidate,v2_training_reward
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,0,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,1,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,2,0.8571428571428571
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,3,0.8571428571428571
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,4,0.8571428571428571
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,5,0.8571428571428571
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,6,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,7,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,8,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,9,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate10,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,10,0.8571428571428571
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate11,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,11,0.8571428571428571
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate12,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,12,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate13,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,13,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate14,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,14,1.0
0714333ecd315ca6,2021.07.09.20.59.12_veh-38_04342_05676,ode_candidate15,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ode,15,1.0
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate0,True,1.0,1.0,0.9232847262341696,1.0,1.0,1.0,0.9680353025975706,ode,0,0.9726016879407748
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate1,True,1.0,1.0,0.9185628525958149,1.0,1.0,1.0,0.9660678552482563,ode,1,0.9709153044985054
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate2,True,1.0,1.0,0.9251493893707492,1.0,1.0,1.0,0.9688122455711454,ode,2,0.9732676390609818
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate3,True,1.0,1.0,0.9240880509008209,1.0,1.0,1.0,0.9683700212086753,ode,3,0.972888589607436
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate4,True,1.0,1.0,0.9220179686960441,1.0,1.0,1.0,0.9675074869566851,ode,4,0.9721492745343016
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate5,True,1.0,1.0,0.9241246920162614,1.0,1.0,1.0,0.9683852883401088,ode,5,0.9729016757200933
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate6,True,1.0,1.0,0.9227468434814141,1.0,1.0,1.0,0.9678111847839226,ode,6,0.9724095869576479
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate7,True,1.0,1.0,0.9267275536280466,1.0,1.0,1.0,0.9694698140116861,ode,7,0.9738312691528738
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate8,True,1.0,1.0,0.923424511171509,1.0,1.0,1.0,0.968093546321462,ode,8,0.9726516111326818
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate9,True,1.0,1.0,0.9253554288285469,1.0,1.0,1.0,0.968898095345228,ode,9,0.973341224581624
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate10,True,1.0,1.0,0.9183666649601622,1.0,1.0,1.0,0.9659861104000674,ode,10,0.9708452374857721
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate11,True,1.0,1.0,0.928511245848318,1.0,1.0,1.0,0.9702130191034658,ode,11,0.974468302088685
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate12,True,1.0,1.0,0.9226315579188699,1.0,1.0,1.0,0.9677631491328625,ode,12,0.9723684135424536
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate13,True,1.0,1.0,0.924135548058561,1.0,1.0,1.0,0.9683898116910671,ode,13,0.9729055528780576
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate14,True,1.0,1.0,0.9220044191641509,1.0,1.0,1.0,0.9675018413183962,ode,14,0.9721444354157682
1549c87c65a556ef,2021.06.09.17.23.18_veh-38_04782_05228,ode_candidate15,True,1.0,1.0,0.9173810403154214,1.0,1.0,1.0,0.9655754334647589,ode,15,0.9704932286840791
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate0,True,1.0,1.0,0.9734769753403282,1.0,1.0,1.0,0.9889487397251367,ode,0,0.9905274911929743
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate1,True,1.0,1.0,0.969102687027108,1.0,1.0,1.0,0.9871261195946284,ode,1,0.9889652453668243
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate2,True,1.0,1.0,0.9707542514404309,1.0,1.0,1.0,0.9878142714335129,ode,2,0.9895550898001539
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate3,True,1.0,1.0,0.965604971546987,1.0,1.0,1.0,0.9856687381445779,ode,3,0.987716061266781
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate4,True,1.0,1.0,0.9613980593885986,1.0,1.0,1.0,0.9839158580785826,ode,4,0.9862135926387852
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate5,True,1.0,1.0,0.9677319062202605,1.0,1.0,1.0,0.9865549609251086,ode,5,0.9884756807929502
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate6,True,1.0,1.0,0.9709634865796002,1.0,1.0,1.0,0.9879014527415001,ode,6,0.9896298166355715
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate7,True,1.0,1.0,0.9657462027742578,1.0,1.0,1.0,0.9857275844892741,ode,7,0.9877665009908064
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate8,True,1.0,1.0,0.9738470336562098,1.0,1.0,1.0,0.9891029306900875,ode,8,0.9906596548772179
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate9,True,1.0,1.0,0.9642444017894537,1.0,1.0,1.0,0.985101834078939,ode,9,0.9872301434962335
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate10,True,1.0,1.0,0.9726344176365532,1.0,1.0,1.0,0.9885976740152306,ode,10,0.9902265777273405
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate11,True,1.0,1.0,0.9634688806874454,1.0,1.0,1.0,0.9847787002864355,ode,11,0.9869531716740877
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate12,True,1.0,1.0,0.9683410102202978,1.0,1.0,1.0,0.9868087542584574,ode,12,0.9886932179358207
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate13,True,1.0,1.0,0.9640810844518157,1.0,1.0,1.0,0.9850337851882566,ode,13,0.9871718158756485
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate14,True,1.0,1.0,0.9719298300360484,1.0,1.0,1.0,0.9883040958483535,ode,14,0.9899749392985887
16bb3ea700cc5f00,2021.06.14.17.26.26_veh-38_05455_05749,ode_candidate15,True,1.0,1.0,0.9694019435409842,1.0,1.0,1.0,0.9872508098087435,ode,15,0.9890721226932087
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate0,True,1.0,1.0,0.8763548046455262,1.0,1.0,1.0,0.9484811686023026,ode,0,0.9558410016591166
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate1,True,1.0,1.0,0.8742733407878244,1.0,1.0,1.0,0.9476138919949268,ode,1,0.9550976217099373
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate2,True,1.0,1.0,0.8755967908590873,1.0,1.0,1.0,0.9481653295246196,ode,2,0.955570282449674
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate3,True,1.0,1.0,0.8786436046025488,1.0,1.0,1.0,0.9494348352510619,ode,3,0.9566584302151959
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate4,True,1.0,1.0,0.885812259536929,1.0,1.0,1.0,0.9524217748070537,ode,4,0.9592186641203317
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate5,True,1.0,1.0,0.8815048990190767,1.0,1.0,1.0,0.9506270412579486,ode,5,0.9576803210782417
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate6,True,1.0,1.0,0.8756234991068018,1.0,1.0,1.0,0.9481764579611675,ode,6,0.9555798211095722
1777334a456f5014,2021.06.14.13.27.42_veh-35_04001_04236,ode_candidate7,True,1.0,1.0,0.8777038133648996,1.0,1.0,1.0,0.949043255568708,ode,7,0.956322790487464
