model,fold,train_scenes,test_scenes,test_logs,auc,balanced_accuracy
logistic_regression_l2,0,9713,2433,27,0.9968882338119068,0.9810882646992682
decision_tree_depth3,0,9713,2433,27,0.9975865862150248,0.9955284448213546
logistic_regression_l2,1,9721,2425,26,0.9992537282916716,0.9848339869174139
decision_tree_depth3,1,9721,2425,26,0.9995692751418598,0.9964090359532582
logistic_regression_l2,2,9721,2425,27,0.997926177087155,0.9889990548113919
decision_tree_depth3,2,9721,2425,27,0.9984185480648183,0.9967764022002572
logistic_regression_l2,3,9714,2432,28,0.9993955574830254,0.988638242508843
decision_tree_depth3,3,9714,2432,28,0.998420792280483,0.996777210077656
logistic_regression_l2,4,9715,2431,28,0.9988131508036452,0.9840567494008206
decision_tree_depth3,4,9715,2431,28,0.9986323814166361,0.9933331979255529
