metric,mean_qformer_noactor_gate,mean_public_open_weight,paired_delta_a_minus_b,log_bootstrap_ci95_low,log_bootstrap_ci95_high,a_better_scene_count,tied_scene_count,b_better_scene_count
selected_pdms,0.8993660396779352,0.9095938788102468,-0.010227839132311772,-0.01268480547793689,-0.007952214565911036,4508,5572,2066
best_of_64_pdms,0.9841117300112959,0.9841117300112348,6.111995755000292e-14,-1.38036119426267e-13,2.609682420126154e-13,915,10381,850
scorer_regret,0.08474569033345135,0.07451785120098786,0.010227839132463477,0.007925237769569184,0.012653880511509619,2142,5407,4597
mean_candidate_pdms,0.7952755467421867,0.795275546742409,-2.2223802166522251e-13,-6.881941706893433e-13,2.742267689612139e-13,5325,1356,5465
median_candidate_pdms,0.8356761058128191,0.8356761058147789,-1.9599232575450563e-12,-2.493352080117017e-12,-1.4399301922614029e-12,3310,4836,4000
top5_oracle_mean_pdms,0.972880045751342,0.9728800457512842,5.782788485947571e-14,-1.8265091082852628e-13,3.1744993664079395e-13,1660,8854,1632
fraction_candidates_pdms_ge_0_9,0.6209220113617652,0.6209220113617652,0.0,0.0,0.0,0,12146,0
fraction_candidates_pdms_ge_0_8,0.78293136629343,0.78293136629343,0.0,0.0,0.0,0,12146,0
unique_candidate_count,64.0,64.0,0.0,0.0,0.0,0,12146,0
mean_pairwise_endpoint_distance_m,4.52926801714604,4.5292680171457445,2.953364358420922e-13,-2.1979906653542462e-13,8.002980532474257e-13,5960,246,5940
mean_pairwise_ade_m,1.8772938401514243,1.877293840151298,1.2636986979830332e-13,-3.9419201358016107e-13,6.244120286709914e-13,5951,227,5968
selected_no_at_fault_collisions,0.9783056150172896,0.9822163675284045,-0.00391075251111477,-0.005423573655136789,-0.002534639955223594,6,12085,55
selected_drivable_area_compliance,0.9667380207475712,0.9725835666062901,-0.0058455458587189195,-0.008035732779027104,-0.0037790030612089203,14,12047,85
selected_ego_progress,0.885316242705969,0.8847152447198833,0.0006009979860857222,-0.0018110809890985165,0.0027635385453938046,4558,6008,1580
selected_time_to_collision_within_bound,0.9258191997365388,0.9420385312036884,-0.01621933146714968,-0.019636171036048835,-0.013063407529461361,19,11911,216
selected_comfort,0.9995060102091223,0.9998353367363741,-0.00032932652725177014,-0.0006694560669456067,-7.80327935708143e-05,0,12142,4
selected_driving_direction_compliance,0.9714309237609089,0.9728717273176354,-0.0014408035567264944,-0.002372738102168142,-0.0005070940364563212,29,12054,63
