model,split,feature,horizon_s,channel,statistic,support,truth_std,mae,rmse,normalized_rmse,r2,spearman
ridge,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_mean,1.0,candidate_relative_dynamic_occupancy,mean,4848,0.03150100260972977,0.015520275570452213,0.02074989303946495,0.658705953086004,0.5661066672287682,0.7708851367293607
ridge,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_std,1.0,candidate_relative_dynamic_occupancy,std,4848,0.07743223011493683,0.03786506503820419,0.04904933273792267,0.6334460361524625,0.5987429808197042,0.805960879490841
ridge,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_min,1.0,candidate_relative_dynamic_occupancy,min,4848,0.0,0.0,0.0,0.0,,
ridge,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_max,1.0,candidate_relative_dynamic_occupancy,max,4848,0.1553698480129242,0.07402154058218002,0.15541890263557434,1.0003476764328416,-0.0006315391338558296,0.20690000510994175
ridge,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_q10,1.0,candidate_relative_dynamic_occupancy,q10,4848,0.0,0.0,0.0,0.0,,
ridge,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_q90,1.0,candidate_relative_dynamic_occupancy,q90,4848,0.2133459895849228,0.12670208513736725,0.21965505182743073,1.0295838402396216,-0.060018426376744705,0.2856280219961799
ridge,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_nonzero_fraction,1.0,candidate_relative_dynamic_occupancy,nonzero_fraction,4848,0.03150100260972977,0.015520275570452213,0.02074989303946495,0.658705953086004,0.5661066672287682,0.7708851367293607
ridge,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_mean,1.0,relative_longitudinal_velocity,mean,4848,0.008041379041969776,0.006162804085761309,0.00827642809599638,1.0292304201781695,-0.059314335262481865,0.4789523838568535
ridge,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_std,1.0,relative_longitudinal_velocity,std,4848,0.03231655806303024,0.017576584592461586,0.02378079667687416,0.7358708522883942,0.4584947760708358,0.6804505455416184
ridge,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_min,1.0,relative_longitudinal_velocity,min,4848,0.19583472609519958,0.15675079822540283,0.22564288973808289,1.152230543536645,-0.32758980617318767,0.288647404595869
ridge,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_max,1.0,relative_longitudinal_velocity,max,4848,0.2446601241827011,0.15902243554592133,0.20731545984745026,0.8473629600557312,0.28197920692978284,0.5753384511129322
ridge,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_q10,1.0,relative_longitudinal_velocity,q10,4848,0.012901927344501019,0.007030709180980921,0.01596429944038391,1.237380678176885,-0.5310542410273513,0.13123723187506436
ridge,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_q90,1.0,relative_longitudinal_velocity,q90,4848,0.008718052878975868,0.004251296166330576,0.011362374760210514,1.303309385349808,-0.6986316920235962,0.014231756500005561
ridge,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_nonzero_fraction,1.0,relative_longitudinal_velocity,nonzero_fraction,4848,0.03116682544350624,0.015658512711524963,0.020899655297398567,0.6705743602572878,0.5503307608141641,0.7633622992756645
ridge,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_mean,1.0,relative_lateral_velocity,mean,4848,0.011653733439743519,0.011871973983943462,0.016014153137803078,1.374163397829925,-0.8883295496901653,0.17449970091339864
ridge,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_std,1.0,relative_lateral_velocity,std,4848,0.03386131301522255,0.015217529609799385,0.020607195794582367,0.6085759260269777,0.62963477123016,0.7708245129295758
ridge,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_min,1.0,relative_lateral_velocity,min,4848,0.18459075689315796,0.1321258842945099,0.19037370383739471,1.0313235631856832,-0.0636384364060203,0.3596406454491791
ridge,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_max,1.0,relative_lateral_velocity,max,4848,0.17540772259235382,0.12713629007339478,0.18265730142593384,1.041340045932063,-0.08436794483137589,0.26654290677594256
ridge,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_q10,1.0,relative_lateral_velocity,q10,4848,0.035610221326351166,0.019925463944673538,0.04336075857281685,1.2176475738877646,-0.4826697520217067,0.15215974838039187
ridge,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_q90,1.0,relative_lateral_velocity,q90,4848,0.01975071430206299,0.010155733674764633,0.02338096871972084,1.1837838306819788,-0.40139108701910153,0.1155604421234628
ridge,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_nonzero_fraction,1.0,relative_lateral_velocity,nonzero_fraction,4848,0.031376052647829056,0.01646055094897747,0.0218968465924263,0.6978840467346478,0.5129579124397463,0.7436946473336354
ridge,outer_train_oof,C_environment_only_h1s_dynamic_clearance_mean,1.0,dynamic_clearance,mean,4848,0.20694884657859802,0.10888175666332245,0.14574897289276123,0.7042759152427789,0.5039962677685833,0.7654691355658243
ridge,outer_train_oof,C_environment_only_h1s_dynamic_clearance_std,1.0,dynamic_clearance,std,4848,0.07199312001466751,0.061610136181116104,0.08044912666082382,1.1174551820505076,-0.24870745524898075,0.3801077550512636
ridge,outer_train_oof,C_environment_only_h1s_dynamic_clearance_min,1.0,dynamic_clearance,min,4848,0.16091875731945038,0.08555154502391815,0.1621270328760147,1.0075495645931578,-0.015073654002635717,0.23292256365812872
ridge,outer_train_oof,C_environment_only_h1s_dynamic_clearance_max,1.0,dynamic_clearance,max,4848,0.17354166507720947,0.10172665864229202,0.13721567392349243,0.7906698704276512,0.3748273506564356,0.6368327043757763
ridge,outer_train_oof,C_environment_only_h1s_dynamic_clearance_q10,1.0,dynamic_clearance,q10,4848,0.18717852234840393,0.11189520359039307,0.1690073162317276,0.9029217470775365,0.18473479005215487,0.5694055765465338
