synthetic_scene_token,initial_token,corresponding_original_scene,corresponding_original_initial_token,history_frames,future_frames,frame_annotation_count,extended_track_steps,extended_traffic_light_steps,front_camera_path_declared,front_camera_file_exists,lidar_path_declared,lidar_file_exists
0008d79ec0547d26b,f27131cc726cc7eb7,931c9ec2bfa55d47,02b68b9cc51f506a,4,0,78,8,8,True,True,True,False
0014874cf8a863ee5,c2453cf14f2d02b30,7c7e92d50f92564b,7da863f64a5f5e90,4,0,75,8,8,True,True,True,False
0015757a763c4b52a,b4ad9997db888e2b4,ff9d7c14934b541e,d5b18d6105c25004,4,0,40,8,8,True,True,True,False
00178b30dc1566c58,63ab15ccc8dcb91fd,faf8f696fd8a5298,fa2c36ce4ba156cb,4,0,80,9,9,True,True,True,False
00253b9d0414dff03,9e9f60c0dd89a3428,610d428caeb35b9e,a6edd19740415b54,4,0,15,9,9,True,True,True,False
002a417ee258681dd,74e68e4dba8d14dfa,69a4a5913bfc5d5d,05f1a5cbc0905d8e,4,0,8,8,8,True,True,True,False
002da93d41e37f4b4,58a779e8d452e3877,1468001ef92e5109,faa8cd5e541a5b67,4,0,83,9,9,True,True,True,False
002e8246aea64c1eb,4683eec43a1454ea9,4c2d79a8bcc155bd,5521dd071ee95c1a,4,0,100,9,9,True,True,True,False
00331ff78371a0558,a2aa45cf991d37699,89b190b36cd75ce9,dd35be6455fe566b,4,0,91,9,9,True,True,True,False
0038a8c2969db35ef,5eeb6bb55001c1fc4,afb6f330e8665731,25e9d76574075cee,4,0,133,9,9,True,True,True,False
004e020f91241e374,ff06d29f106ca64e4,6139b7811b87514b,b6247a5245a5554f,4,0,260,9,9,True,True,True,False
0060e71e5df239992,f0da7e68f4547e66a,98c7a48dd75052ab,a5183d5f2da251fa,4,0,141,9,9,True,True,True,False
0062ad9640afd2d18,c557bbca95b7a9516,66368e570f415f55,eb3912d9717d5177,4,0,4,9,9,True,True,True,False
0064aa154ad5dd326,62660d36960de718f,66a2be8354ba5535,a2047f9cb3865b75,4,0,153,8,8,True,True,True,False
006d934bf264f0f76,835ff0096d7b5ba4f,43861b94f4d959eb,67bce1e28df25eaa,4,0,306,9,9,True,True,True,False
0087e01bacbb89534,f8632cecfa6bdd21f,ed3da5aa48d15354,087023402a695ba3,4,0,67,9,9,True,True,True,False
009fabf9964b38e09,39ee7720dd5c83901,de354f243fa157ec,116aacf9868e5e4e,4,0,44,9,9,True,True,True,False
00a0f25bb297f4bb2,e20ec0633fcd9af94,5c5e0e2c9d225b98,8237f47b224952b4,4,0,8,8,8,True,True,True,False
00a33612ebd843738,a1de70408377fb037,e7ca264a0dd359f3,49074bfb7c9e5c26,4,0,4,8,8,True,True,True,False
00bf9464525be8211,83d2191f456a3fa85,d34b1a7834a35883,e024bd23594b5a13,4,0,22,9,9,True,True,True,False
00c52c4de6fe0ce6e,0a043b6dfbe71d53e,05c1feab4b8f5957,635d0bb58aa95282,4,0,70,9,9,True,True,True,False
00cbcaaad573a39b4,947f38ffbc0854bac,97c8e9ca10ba5a69,8fb11d5808355072,4,0,480,8,8,True,True,True,False
00e6902b215b55cd5,599d18ef0c8b9c894,8cfce2bdf24a5260,550f8f2c9795525c,4,0,260,9,9,True,True,True,False
00e7d8567c2cb11dd,38243f89c66ef146f,0bb779c3344d5b1d,54a295777c3a5d46,4,0,9,8,8,True,True,True,False
00ea30c53331bf4ad,ae09f26f3f98c0e0e,5b5be980b0815e76,3b1e0182cb145b8d,4,0,57,8,8,True,True,True,False
00ebf407fbe88b384,aad606c2d4cfea9a1,4b1073732de35303,99ebd32df2f453f8,4,0,8,8,8,True,True,True,False
00f237cd5ef0124ee,f423e66e3506af742,0d0972c70bd955cc,ffe92084016a5795,4,0,13,8,8,True,True,True,False
0107ffccc6004826a,b51b8bf8d757ee5de,3dac4631b32d5baa,f2117260382b5d83,4,0,173,9,9,True,True,True,False
01094a36bd94cb879,d069a0081ae35d442,4459594521595a93,2c8a58b94332570d,4,0,57,9,9,True,True,True,False
0112bf0829744d5c8,cd00bd6a4daf5fce4,73c600dba1795b0c,5f4991d3d2ca5eee,4,0,726,9,9,True,True,True,False
0115fef8cbe3a6549,dbc538d7bed435cad,ff3e6f394fea51bf,8d0697930b5e5df0,4,0,504,8,8,True,True,True,False
0132e12b479cd7707,b36a5e74ec4ae9574,b3211f9908a45786,da56fca2caff52e4,4,0,91,9,9,True,True,True,False
013ffe6f96749333e,17b20f1abf2c81e8d,9aa76ff06fd153d8,cc4bdc0160e157c4,4,0,126,9,9,True,True,True,False
01443572b5ccd1c62,a99e7bb23533b8fee,d10f3128649054ef,9b0a5826d2d357d8,4,0,6,8,8,True,True,True,False
0147495a77b47f1b9,2f25ad449c40ae04c,1661065c080c51d8,c33bb70075e7594c,4,0,273,9,9,True,True,True,False
015c7fd628e69272a,2c12490b19101760e,50613cf56a8d5a38,b867b28707205c0b,4,0,114,9,9,True,True,True,False
0164da747f4b0a439,20a64ca2d03e6cb72,4a7fd1bd37ed5463,bb4f37403cea5b0e,4,0,30,8,8,True,True,True,False
0182dc1ab08cdf1fe,d1e49d53c8a87357c,d4f46232d69d5d16,7af0e9b8a12056e8,4,0,22,9,9,True,True,True,False
018f0a94c17889ec2,4e5f4494c8076cc5b,5496f69033515dd4,66583dab627951a2,4,0,88,9,9,True,True,True,False
0190a0d50fddaef79,4b3c2ee5f127a3fe4,134b10cfe7e753e6,b474c79361415cb0,4,0,159,8,8,True,True,True,False
01a7ef3dba5ee1ac4,a69f76adb6218f06b,6d3bb2ecca3e54b4,c7e06d79e58454ae,4,0,1,9,9,True,True,True,False
01e5252ed26b9fbd2,556038b758f3b54f6,9243ca15a76e552f,8f8ccbd6ffcb54b9,4,0,137,8,8,True,True,True,False
01e7a6ceda9106fe8,4c1f05a52e82aac85,c6be203c41a155e4,f2592c08589e5398,4,0,8,8,8,True,True,True,False
01eb9339e1ec69815,32888a8d5ffa4cfa6,045a93a43af35fd1,d01fec804cd45644,4,0,144,9,9,True,True,True,False
01ec1447fb4d9d422,5a653e174a05d5da0,6bc77f3b97795470,f56b0cc9c9d95421,4,0,40,9,9,True,True,True,False
020189e6b9370b72a,853836094a41151fa,931c9ec2bfa55d47,02b68b9cc51f506a,4,0,78,8,8,True,True,True,False
0202177df05d72208,0837e02dbb891dbc9,ba8b30ba37d05ed6,0f422a003dab525e,4,0,12,9,9,True,True,True,False
0206af5e08710ab35,1ad3760588008efe5,8685d4420d83534f,71405d414236553c,4,0,58,8,8,True,True,True,False
0206b719284ef4041,bccac7c12e34ccda7,eb72736f2edf5380,622867ce25805447,4,0,142,8,8,True,True,True,False
02075289551870285,319a6165fd328e03e,4459594521595a93,2c8a58b94332570d,4,0,57,9,9,True,True,True,False
0229510a74825209d,198e5922fee004f44,22dde440a0c35d31,8846d60884435288,4,0,162,9,9,True,True,True,False
022c495c346bfa5d8,5351d5bec3ef40436,610d428caeb35b9e,a6edd19740415b54,4,0,15,9,9,True,True,True,False
024231617669075b8,462336a687ff62978,05f1c7e44f74538c,0fde069313a35062,4,0,221,9,9,True,True,True,False
0243b0e465a22f024,21ef36d866be6b411,c1e88ed6895053e8,b60afdbc7cc65971,4,0,109,8,8,True,True,True,False
0260c23dbf7e78d46,ce4c369affbdefa99,8140728e0011561d,342f42c4b2855ffb,4,0,12,9,9,True,True,True,False
0286bef519359808a,ceb646b2fba95ebf9,008d66a74c275479,e1f6c044f4235462,4,0,264,8,8,True,True,True,False
028c5c8b15e95d43c,64dbb32a1a6005581,89b190b36cd75ce9,dd35be6455fe566b,4,0,91,9,9,True,True,True,False
028f56e132b04b6ff,5c1c76ff6dae6f388,acd1fd0b50b659c8,686b55439d5e591e,4,0,258,9,9,True,True,True,False
